,run_id,index,zmq_version_string,benchmark_type,helics_version_string,helics_version,zmq_version,path,compiler_info_string,generator,system,system_version,platform,cxx_compiler,cxx_compiler_version,load_avg,host_processor,host_processor_string,date,host_name,num_cpus,mhz_per_cpu,cpu_scaling_enabled,library_build_type,build_flags_string,type,level,size,num_sharing,filter_location,iterations,repetition_index,repetitions,run_type,threads,time_unit
10,LJ461,12967, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g9fe5f995-dirty (2019-11-29),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-29,Visual Studio 16 2019 Windows-10.0.18362:MSVC-19.23.28106.4,Visual Studio 16 2019,Windows,10.0.18362,,MSVC,19.23.28106.4,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-29 11:15:20,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Data,1,32768000,2,nan,1,0,0,iteration,1,s
11,Md3vp,8849, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g1855105d-dirty (2019-11-28),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-28,Visual Studio 15 2017 Windows-10.0.18362:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18362,,MSVC,19.16.27026.1,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-28 08:41:27,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,8388608000,8,nan,1,0,0,iteration,1,s
12,Obg9g,34331, ZMQ v4.3.2,full,2.3.1-ringMessageBenchmark-gaa850d09-dirty (2020-01-11),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-01-11,Visual Studio 15 2017 x64 Windows-10.0.18362:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18362,x64,MSVC,19.16.27026.1,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2020-01-11 22:46:17,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Instruction,1,65536000,2,nan,1,0,0,iteration,1,s
13,OnQdb,17961, ZMQ v4.2.5,full,2.3.1-benchmark_old_cmake-g5c2e1f79 (2019-11-30),2.3.1,4.2.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-30,Ninja  Linux-4.15.0-65-generic:GNU-7.4.0,Ninja,Linux,4.15.0-65-generic:,,GNU,7.4.0,"[0.5, 0.18, 0.05]",x86_64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-30 18:21:55,UbuntuVirt,8,3394,False,debug,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,3,32768000000,8,nan,1,0,0,iteration,1,s
14,Pj3AI,61454, ZMQ v4.3.2,full,2.5.2-install-benchmarks-gf6b7281 (2020-07-01),2.5.2,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-07-01,Unix Makefiles  Linux-4.14.0-115.19.1.1chaos.ch6a.aarch64:Clang-9.0.1,Unix Makefiles,Linux,4.14.0-115.19.1.1chaos.ch6a.aarch64:,,Clang,9.0.1,"[0, 0, 0]",aarch64,,2020-07-01 14:29:33,arm_thunderx261,256,400,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,3,32768000000,128,nan,1,0,0,iteration,1,s
15,PtAdZ,48496, ZMQ v4.3.2,full,2.5.0 (2020-04-26),2.5.0 (2020,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-05-01,Visual Studio 15 2017 Win32 Windows-10.0.18363:MSVC-19.16.27039.0,Visual Studio 15 2017,Windows,10.0.18363,Win32,MSVC,19.16.27039.0,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2020-05-02 09:54:04,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /O2 /Ob2 /DNDEBUG /machine:X86 /EHsc;/std:c++14,Instruction,1,65536000,2,source,1,0,0,iteration,1,s
16,YL2EQ,57730, ZMQ v4.3.2,full,2.5.1-develop-g80ecfd1e (2020-06-04),2.5.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-06-04,Visual Studio 16 2019 x64 Windows-10.0.17763:MSVC-19.26.28806.0,Visual Studio 16 2019,Windows,10.0.17763,x64,MSVC,19.26.28806.0,[],AMD64,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2020-06-04 09:08:01,LEAVITT,36,3000,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,25952256000,36,nan,1,0,0,iteration,1,s
17,YidUg,8535, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g1855105d-dirty (2019-11-27),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-27,Visual Studio 15 2017 Windows-10.0.18362:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18362,,MSVC,19.16.27026.1,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-27 21:51:25,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Instruction,1,65536000,2,nan,3,0,0,iteration,1,s
18,Zu60n,19919, ZMQ v4.3.2,full,2.3.1-develop-g807f55eb (2019-12-02),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-02,Visual Studio 16 2019 x64 Windows-10.0.17763:MSVC-19.23.28106.4,Visual Studio 16 2019,Windows,10.0.17763,x64,MSVC,19.23.28106.4,[],AMD64,Intel(R) Core(TM) i7-4712HQ CPU @ 2.30GHz,2019-12-02 12:00:48,HERSCHEL,8,2295,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Data,1,32768000,2,nan,1,0,0,iteration,1,s
19,aUZF6,20951, ZMQ v4.3.2,full,2.3.1-static_analyzer_fixes-g0dc7ca1a-dirty (2019-12-02),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-02,Visual Studio 15 2017 x64 Windows-10.0.16299:MSVC-19.12.25835.0,Visual Studio 15 2017,Windows,10.0.16299,x64,MSVC,19.12.25835.0,[],AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2019-12-02 15:38:39,STEADMAN,8,3492,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,10485760000,8,nan,1,0,0,iteration,1,s
